Q_ID,Quote text,C_ID,Chapter ,country_region,tag:harm,tag:operational_impact,tag:response_strategy,tag:governance
1,"...harmful information did not directly hinder the humanitarian response; it was not an obstacle to providing assistance. However, it undoubtedly had an impact on the people involved in the response by creating an extraordinary workload dedicated to denying; explaining or minimizing the impact of harmful information, causing emotional distress and even doubts about the organization, both within society and among Spanish Red Cross members; undermining public trust, with some donors questioning the organization.",1,CH1,Spain,Psychological; Societal ,Programme effectiveness and accountability ,,
2,"Migrants were also targeted in the harmful information – these posts inevitably fuelled xenophobia – but in this case, they were used more as a tool to target the Spanish Red Cross.",1,CH1,Spain,Social; Societal,,,
3,"Another common source of mistrust was the use of unclear or overly technical language. Studies from Eswatini, Albania and Nepal showed that early warnings often relied on jargon, unfamiliar terminology or were not translated into local languages. When messages are difficult to understand or feel irrelevant to local realities, they become inaccessible – and trust quickly breaks down.",32,CH3,"Albania, Nepal, Eswatini",Informational,Distorted needs and demand signals,,
4,"... access to accurate, practical information ...[is]... crucial to reducing exploitation and ensuring safer journeys. Without it, many migrants are forced to rely on unverified sources of information. As one migrant in Australia highlighted: “… we suffer from dodgy [unreliable] information provided to us by migration agents, for example”",28,CH3,Australia,Informational; Deprivational/financial/economic,,Information as aid ,
5,"Misinformation and disinformation about migrants also impact their safety, dignity and well-being by shaping public opinion and policy. ... In countries where migrants are portrayed as threats, public discourse tends to support more restrictive migration policies and reduced access to essential services, increasing vulnerability.",28,CH3,,Social; Societal,,,Regulation and public policy frameworks 
6,"Tackling misinformation must be treated as a humanitarian priority. This requires equitable, inclusive and culturally informed communication systems.",88,CH8,Australia,,Programme effectiveness and accountability,,Humanitarian principles and neutrality
7,"Recovering from this reputational risk requires more than image management. It has called for a long-term effort to reinforce institutional independence, diversify governance and rebuild public trust.",8,CH1,Bangladesh,Societal ,,,
8,"Misinformation and disinformation travel in and around the camps through commonly used platforms: Facebook, WhatsApp/IMO app, YouTube/TikTok, as well as offline phone-to-phone sharing (Bluetooth/SHAREit). Despite humanitarian organizations’ efforts to set up rumour-tracking initiatives in Cox’s Bazar to counter these dynamics, these have been deprioritized in successive funding cuts since 2021.",39,CH4,Bangladesh,Informational ,Programme effectiveness and accountability,Rumour tracking and early warning,
9,"“They had the same information from other doctors ... but they always believed in what people close to them said... their [reasoning was]: if COVID was similar to a cold and in the past herbs cured them, the same could be used with COVID ... we are not irrational, we continue to base ourselves on facts and experiences.”",69,CH6,Bolivia,,,Trusted messengers and local intermediaries,
10,"During the cash and voucher assistance distribution process, a call centre was established. However, some people contacted to receive their codes feared the calls might be part of a telephone scam – an occurrence that is relatively common in the country.",85,CH7,Bolivia,Deprivational/financial/economic,Distorted needs and demand signals,,
11,"a lack of clear differentiation between official alerts and misinformation created confusion and undermined confidence in the warnings. Without recognisable formats or clear source attribution, people struggled to verify which messages were credible and what guidance to follow.",32,CH3,Brazil,Informational ,Distorted needs and demand signals,,
12,"The Bulgarian Red Cross’ causes and campaigns enjoy high visibility and recognition, along with strong trust among large businesses and it holds a dominant position over other charitable organizations nationally – an advantage that should be preserved.",44,CH4,Bulgaria,Societal,,,
13,"The negative reactions were triggered by the organization’s policy to accept only new items during its public donation campaign for people affected by the conflict arriving in Bulgaria. Criticism focused on why used goods were not accepted, and risked undermining public trust.",44,CH4,Bulgaria,Societal,,,
14,"The shrinking humanitarian space is no longer just a metaphor – it is a measurable, digital phenomenon with direct operational consequences offline.",21,CH2,Burkina Faso,Societal,,,
15,The stark difference in public sentiment toward local leaders versus institutional figures reflected complex dynamics and it is not always clear how much of the reaction is organic or coordinated.,30,CH3,Burkina Faso,Informational ,,,
16,"Trust within communities is fluctuating. ... Nevertheless, close ties remain important landmarks, even if the rapid circulation of word-of-mouth [information] can strengthen solidarity as well as sow mistrust",69,CH6,Cameroon,Social,,,
17,"Understanding what drives trust and how to strengthen and maintain it is now integrated into the Canadian Red Cross’s strategic approach, from the governance level (Board of Directors) through to executive leadership teams in Operations, Stakeholder Relations, Philanthropy and Communications.",20,CH2,Canada,,,,Regulation and public policy frameworks
18,Findings showed that many people viewed the overall response of the Canadian Red Cross as slow or mismanaged – perceptions closely aligned with the misinformation narratives directed at the organization during the response,41,CH4,Canada,Societal,Programme effectiveness and accountability,,
19,"Through the framework, [the National Society] continues to walk alongside Indigenous communities by building trust, reinforcing local capacities and ensuring humanitarian action remains people first, culturally safe and led by the priorities of the communities it serves.",68,CH6,Canada,,,Community engagement and accountability,
20,"Less-connected, under-resourced populations – particularly those speaking marginalized languages – are being excluded from the production and sharing of knowledge.",73,CH6,Central African Republic,Societal,,,
21,"To address this risk, it is not enough to merely counter disinformation as this approach is inherently reactive. Instead, there must be proactive and preventive investment in promoting information integrity: ... 1. Fill the information vacuum ...(Grounding in journalistic ethics, ...Ensuring proximity and inclusivity)... 2. Improve information and media literacy, through the media and with communities...",73,CH6,Central African Republic,,,Prebunking and narrative resilience,
22,"“Nowadays, with the rise of short videos, some bloggers use AI to create composite images ... you can describe a disaster to an AI, and it will generate images — but these images don’t match the reality. This kind of exaggerated and false information is actually quite common.”",69,CH6,China,Digital/technological; Informational,,,Technology governance and platform accountability
23,"Comoros Red Crescent volunteers sent nearly 2,900 alerts via Nyss®, receiving tailored Ministry of Health-approved messages in French, helping communities act quickly and get patients to treatment centres earlier.",49,CH4,Comoros,,,Prebunking and narrative resilience,
24,local authorities such as religious leaders and police joined discussion groups to verify and co-disseminate information. This significantly boosted community trust.,94,CH8,Democratic Republic of the Congo,,,Trusted messengers and local intermediaries; Partnership and coordination,
25,"There were difficulties in transporting blood components, delays in emergency care, tyres punctured by sharp objects, and rocks thrown at four ambulances clearly marked with the Red Cross emblem even while using sirens and flashing lights to reach injured individuals.",67,CH6,Ecuador,Physical,Safety and security of staff and volunteers,,Regulation and public policy frameworks
26,"These actions are part of a strategy aimed at raising public awareness about the humanitarian role of the Ecuadorian Red Cross in the context of social mobilizations. The initiative is reinforced through the use of accessible language – including Kichwa, as the predominant language in Indigenous communities – with the purpose of strengthening understanding and acceptance of Red Cross interventions",67,CH6,Ecuador,,,Community engagement and accountability,
27,"Community-generated recommendations emphasize the importance of face-to-face interaction over digital-only engagement, showing a strong preference for direct, human-centred dialogue.",64,CH6,Ecuador,,,Community engagement and accountability,
28,Many communities view humanitarian actors as reluctant to openly share mistakes or acknowledge shortcomings – an impression amplified by the digital era’s demand for real-time accountability.,32,CH2,"Ecuador, Mongolia, Zimbabwe",Societal,,,
29,"even scientifically accurate forecasts often fail to trigger early action when messages are mistrusted, sources are doubted or the information is confusing or inaccessible.",32,CH2,"Albania, Bangladesh, Brazil, Eswatini, Ethiopia, India, Indonesia, Kenya, Malawi, Namibia, Nepal, Nigeria, Philippines, Viet Nam",Psychological; Societal; Informational,Distorted needs and demand signals ,,
30,"Another study from India highlighted how frequent alerts forced people who rely on daily labour wages to choose between heeding early action warnings or losing income, making trust in alerts especially critical when livelihoods are at stake.",32,CH2,India,Deprivational/financial/economic; Psychological,Distorted needs and demand signals ,,
31,"Media education in Finland is diverse and widely implemented. Schools, public authorities, cultural institutions, NGOs and private sector actors all contribute to the promotion and development of media education.",63,CH5,Finland,,,Partnership and coordination,
32,"These programmes are most effective when run by trusted community members and volunteers, co-developed with communities and aligned with local cultural practices.",37,CH3,"France, Senegal, Guinea, Madagacar, Comoros",,,Trusted messengers and local intermediaries; Community engagement and accountability ,
33,"the importance of both quantitative and qualitative social science research to counter harmful information, support trust in the humanitarian sector and strengthen epidemic preparedness and response programmes.",37,CH3,"France, Senegal, Guinea, Madagacar, Comoros",,,,
34,"Leveraging local authorities, youth volunteers and trusted community spaces helped combat vaccine rumours. “I am not a passive participant ... I suggested to the Red Cross to organize a first aid course in my village and they did.” (Community leader.)",70,CH6,Georgia,,,Community engagement and accountability; Trusted messengers and local intermediaries,
35,"Community-led, culturally resonant communication counters disinformation that draws on lived experiences.",70,CH6,Guatemala,,,Community engagement and accountability; Trusted messengers and local intermediaries,
36,Past epidemic memory strengthens resilience against harmful information when combined with two-way communication.,70,CH6,Guinea,,,Community engagement and accountability; Prebunking and narrative resilience,
37,"While harmful information spreads digitally, trusted face-to-face communication remains a powerful corrective.",70,CH6,Indonesia,,,Debunking and corrective communication; Trusted messengers and local intermediaries,
38,"Compounded crises amplify harmful information. Timely, inclusive and consistent messaging delivered by trusted peers is essential to restore confidence.",70,CH6,Malawi,,,Trusted messengers and local intermediaries,
39,"the volunteers receive accurate Ministry of Health-approved health information to share locally with community members, countering rumours, promoting prevention and encouraging timely care seeking.",49,CH4,Fiji,,,Debunking and corrective communication; Trusted messengers and local intermediaries,
40,"the institutionalization of CEA, combined with its continuous evaluation, has demonstrated its potential to transform both humanitarian response and the relationship between communities and health systems.",64,CH6,Guatemala,,,Community engagement and accountability,
41,"During the Ebola outbreak in Guinea in July 2014, the President of the Red Cross Society of Guinea warned that violence against volunteers was hindering access to affected communities and disrupting safe burials. These attacks stemmed from misconceptions and fear surrounding Ebola, despite efforts to counter rumours through radio, television and community engagement.",7,CH1,Guinea,Physical; Psychological,Safety and security of staff and volunteers; Access constraints and acceptance risks,Debunking and corrective communication,
42,"Greater investment is needed in communication and awareness-raising strategies. Local communities should be empowered to act in countering misinformation, reinforcing their role in protection and social cohesion. ",83,CH7,Honduras,,,"Prebunking and narrative resilience; Debunking and corrective communication
",
43,[the Red Cross Red Crescent Movement should] facilitate internal reflection spaces and training on strategic and operational communication ... to share best practices for managing harmful information and humanitarian diplomacy.,83,CH7,Honduras,,,Partnership and coordination,
44,"the Honduran Red Cross has strengthened its community communication approach by launching targeted campaigns through social and local media. These initiatives aim to reaffirm our humanitarian mandate, the fundamental principles and the neutral, impartial and independent nature of our work",83,CH7,Honduras,,,,Humanitarian principles and neutrality; Regulation and public policy frameworks
45,"inflated figures on the amount and value of international aid heightened expectations among affected people and beneficiaries, creating management challenges.",6,CH1,Islamic Republic of Iran,Deprivational/financial/economic; Informational,Distorted needs and demand signals,,
46,"exaggerated claims about the amount of international aid created doubts among potential donors as to whether further aid and contributions were needed, thereby undermining global resource mobilization and fundraising efforts.",6,CH1,Islamic Republic of Iran,Deprivational/financial/economic,Programme effectiveness and accountability,,
47,"the [National Observatory on the Protection of the Emblem] prepared an ‘advocacy message’ to be sent from the Italian Red Cross social media accounts to users who have posted content involving emblem misuse... [with] information on the correct use of the emblem, the importance of respecting it, and the humanitarian implications of misuse.",38,CH4,Italy,,,Debunking and corrective communication,Humanitarian principles and neutrality
48,"Beyond operational and logistical improvements, we also launched a storytelling initiative centred on the emotions and lived experiences of the migrants arriving in Lampedusa. This helped shift the narrative – from one focused solely on numbers to one showing human stories and dignity. ",77,CH7,Italy,Social,,Prebunking and narrative resilience,
49,Japan's unique linguistic and media environment provides a partial buffer against the global spread of harmful information,72,CH6,Japan,Informational,,,
50,"“Humanitarian action depends on trust. When harmful information circulates, it puts lives at risk and undermines the neutrality that allows us to reach people in crisis. Combating misinformation is not optional, it is a priority for protecting communities and ensuring they get the help they deserve.",43,CH4,Kenya,Societal,Programme effectiveness and accountability,,Humanitarian principles and neutrality
51,"“[During an mpox outbreak, community members] perceived us as an organization that should come with goodies to give them ... they didn’t take that sensitization seriously. The community … felt it’s better if [we] provided them with items that are [tangible] ... rather than passing down information.",69,CH6,Kenya,Informational,Distorted needs and demand signals,,
52,"These [religious] leaders continue to explain the importance of vaccination from a religious perspective, using messages that combine evidence-based health information with religious interpretations.",66,CH6,Kyrgyzstan,,,Trusted messengers and local intermediaries,
53,"...even when volunteers successfully encouraged people to seek vaccination at local health clinics, some health practitioners themselves discouraged people from receiving the COVID-19 vaccine",66,CH6,Kyrgyzstan,Informational,Distorted needs and demand signals,Trusted messengers and local intermediaries,
54,"Refugee families delayed or rushed returns to Syria based on social media rumours of border closures or new UN compensation packages, none of which could be verified.",12,CH1,"Lebanon, Syria",Informational,Distorted needs and demand signals,,
55,"Economic uncertainty and political disillusionment created fertile ground for scapegoating. Refugees were portrayed as favoured, host communities as neglected, while misinformation circulating in WhatsApp groups inflamed resentment.",12,CH1,Lebanon,Social; Societal,,,
56,"In both countries, teachers, activists and aid workers who once acted as information bridges now hesitate to speak out, fearing backlash. ",12,CH1,"Lebanon, Sudan",Psychological,,Trusted messengers and local intermediaries,Freedom of expression and information rights
57,"The core humanitarian principles of impartiality, neutrality and independence are increasingly challenged by the spread of false narratives.",19,CH2,Lebanon,Societal,,,Humanitarian principles and neutrality
58,"Above all, ... volunteers – trusted and embedded in local communities – remain the organization’s most effective asset in upholding community trust and ensuring the continuity of principled, life-saving humanitarian response.",19,CH2,Lebanon,,,Trusted messengers and local intermediaries,
59,"Internet shutdowns force people into fragmented or unreliable information bubbles, removing them from the ability to verify or even access potentially life-saving information. At the same time, the degradation of content in the information ecosystem can render access to information ineffective or even dangerous.",52,CH5,Libya,Informational; Digital/technological,,,
60,"As local initiatives struggle to stay afloat, hostile actors are stepping into the void driven by political or financial motives. In some cases, these actors offer funding under conditions incompatible with humanitarian principles.",52,CH5,Libya,Societal; Deprivational/financial/economic,Programme effectiveness and accountability,,Humanitarian principles and neutrality
61,"""For me personally, what needs to be done to reduce fake news and strengthen preparedness for danger is to encourage people on a daily basis, without waiting for danger to arise, by informing them about what to do when a cyclone hits. And also to organize training for as many people as possible",-,CH3,Madagascar,,,Community engagement and accountability; Prebunking and narrative resilience ,
62,"“The media landscape ... presented a simplified and often false image: either a ‘hero’ caregiver without weaknesses, or a caregiver ‘on the verge of collapse.’ Information, when exaggerated or minimized, distorts the social perception of the profession ... This lack of nuance has fuelled stereotypes and exacerbated caregivers’ difficulty expressing their emotions""",69,CH6,Madagascar,Psychological; Social,,,
63,"“In some parts of Madagascar, the arrival of two hatless men in a village traditionally signalled a death, illustrating the importance of cultural codes in communication. Understanding and respecting these practices can improve the effectiveness of awareness campaigns.""",69,CH6,Madagascar,,Programme effectiveness and accountability,Community engagement and accountability; Trusted messengers and local intermediaries,
64,"""These actors use familiar methods such as megaphones and direct dialogue to foster understanding and prompt action. Formal early warnings – including flood or drought alerts – are disseminated through radio broadcasts, local government officials and NGOs""",70,CH6,Malawi,,,Community engagement and accountability; Partnership and coordination,
65,"local actors consistently enjoy higher trust and lower hostility in online spaces compared to their international counterparts. In Burkina Faso, Mali and Niger, local NGOs received virtually no negative comments across several months of monitoring, even when addressing sensitive topics such as reproductive health or gender-based violence.",30,CH3,"Burkina Faso, Mali, Niger",,,,
66,"""Debunking is most effective when it is personal, contextual and trust-based. Training future frontline workers to respond effectively after falsehoods have spread builds long-term institutional capacity. The model is replicable – particularly in contexts where misinformation is already widespread and direct community engagement is possible",35,CH3,Moldova,,,Debunking and corrective communication,
67,"trained students went door-to-door to speak directly with community members, correcting vaccine myths and sharing accurate information through open conversational dialogue.",35,CH3,Moldova,,,Rumour tracking and early warning; Debunking and corrective communication,
68,"The 2024 data confirms that conflict was the leading trigger for internet shutdowns for a second consecutive year, with an expanding arsenal of tools deployed to cut connectivity – jamming devices, cutting cables, destroying infrastructure and sabotaging internet service providers.",13,CH1,Myanmar,Societal; Informational; Digital/technological,,,Freedom of expression and information rights
69,"During the last monsoon season, for example, upstream communities monitored rainfall and alerted downstream communities to take immediate action, saving lives.",33,CH3,Nepal,,,Community engagement and accountability; Rumour tracking and early warning,
70,"people’s mindsets have shifted from reactive to proactive, enabling earlier action based on trusted, localized information and growing confidence in their ability to respond. When a community is cohesive and empowered to drive its own development, people become active agents of resilience. This empowerment spreads across the community, making it safer and more resilient for everyone.",33,CH3,Nepal,,,Community engagement and accountability,
71,"Choosing not to enter into ill-informed ‘arguments and reactive debates’ was important for the New Zealand Red Cross. It was hard and painful work, requiring time, effort and patience – but it was worth it. Although public sentiment was initially negatively impacted, today positive public sentiment towards the National Society is even stronger than it was prior to 2022",40,CH4,New Zealand,Societal,,Prebunking and narrative resilience,
72,"In an age where a single viral post can undo years of goodwill, digital integrity must be treated as mission-critical. This is our new normal.",40,CH4,New Zealand,Digital/technological,,,
73,"These narratives have distorted public understanding of the principle of neutrality, and more broadly, of the roles of different Movement components during humanitarian crises. ",79,CH7,"Palestine, Italy",Informational,Programme effectiveness and accountability,,Humanitarian principles and neutrality
74,Civil society is stepping up with coordinated action. For example [with] a global campaign calling for the rebuilding of Gaza’s telecommunications network and the recognition of access to communication as a fundamental human right,98,CH8,Palestine,Societal,,,Freedom of expression and information rights
75,"It also underscores the importance of sustained investment in the institutionalization of [Community Engagement and Accountability], including increasing geographic coverage, recruiting dedicated technical personnel and integrating CEA across all phases of programmes and operations.",64,CH6,Panama,,,Community engagement and accountability,
76,"In Peru, for example, health workers were labelled as ‘white devils’ and accused of bringing the virus into communities. These beliefs were not simply a result of misinformation – they reflected traditional conceptions of illness and were exacerbated by limited access to accurate, culturally relevant information",17,CH2,Peru,Informational,Access constraints and acceptance risks,,
77,"To address these challenges, health authorities turned to the National Society – fostering dialogue to uncover and bridge differences in perceptions of illness and treatment.",17,CH2,Peru,,,Partnership and coordination,
78,"“The false information and rumours ... greatly diminished our role as an organization. [Affected community members] started going to these [other] organizations asking where the aid was that had arrived [according to rumours], ‘Why didn’t we receive anything?’ ... people during that period did not see or analyse what this organization was for.”",69,CH6,Qatar,Psychological; Societal,Programme effectiveness and accountability,,
79,The National Society had to carefully balance its auxiliary role to the government in the humanitarian field. This situation has taught us to think more and consider the consequences of each word and action from different perspectives,82,CH7,Russia,,,Prebunking and narrative resilience,Regulation and public policy frameworks; Humanitarian principles and neutrality
80,"the focus was on identifying early signals of hesitancy and understanding psychological factors, such as confirmation bias, that make certain narratives more persuasive than others",34,CH3,Scotland,,,Rumour tracking and early warning,
81,Prebunking works best when rooted in real-time insights.,34,CH3,Scotland,,,Prebunking and narrative resilience,
82,"Harmful information is an omnipresent and often invisible threat – both online and offline. ... It can affect mental health, reduce motivation to continue humanitarian work and even increase vulnerability to conspiracy theories.",47,CH4,Slovakia,Psychological; Informational,,,
83,We collaborated with a Slovak expert in critical thinking to develop appropriate responses to common disinformation-related scenarios encountered by our staff and volunteers in the field,47,CH4,Slovakia,,,Partnership and coordination,
84,"the National Society formed a Crisis Communication Committee comprising the Secretary-General, Communications Manager, Safety and Field Coordinator, Partnerships Coordinator and representatives from the Emergency Operations Centre",48,CH4,South Sudan,,,Partnership and coordination,
85,"Recently, a commander of a militia group affiliated with the government wore a South Sudan Red Cross jacket bearing the National Society logo and in a recorded video described their operations in the Upper Nile region. The video went viral, generating strong reactions. ",48,CH4,South Sudan,Societal ,Programme effectiveness and accountability,,Humanitarian principles and neutrality
86,"In the emblem misuse case, the South Sudan Red Cross chose not to engage with the media, as the post had not attracted significant media attention. Instead, internal communication and partner engagement were prioritized to manage reputational risk and maintain trust proactively.",48,CH4,South Sudan,,Access constraints and acceptance risks; Programme effectiveness and accountability,Partnership and coordination,
87,"To counter harmful information more effectively, system-level strategies must prioritize local engagement, trust-building and cross-sector collaboration.",95,CH8,South Sudan,,,Partnership and coordination; Community engagement and accountability,
88,"Community members increasingly verified information before acting. For example, after receiving counter-messaging about a false attack, people chose not to flee, avoiding unnecessary displacement.",100,CH8,South Sudan,,,Information as aid; Debunking and corrective communication,
89,"Without larger-scale studies, it was difficult to isolate the specific impact of misinformation from other conflict drivers such as insecurity or displacement.",100,CH8,South Sudan,,,,
90,"While operational tools exist, there is no dedicated organizational policy on harmful information that includes a standard template and operating procedures across regions and scenarios.",101,CH8,South Sudan,,,Partnership and coordination,Regulation and public policy frameworks
91,"""Trust alone is not enough without a proper system for fast, verified communication, even trusted organizations risk failing their communities during disasters.”",69,CH6,Sri Lanka,,Programme effectiveness and accountability,,
92,"from Sudan to Ukraine, misinformation has obstructed safe passage of civilians, fuelled local suspicion toward aid workers and led to violent reprisals. These examples underscore that the costs of harmful information are not abstract – they are immediate and sometimes life-threatening. Waiting to react means being late to the race.",4,CH1,"Sudan, Ukraine",Social; Societal; Physical,Safety and security of staff and volunteers,,
93,"In Sudan, manipulated narratives about territorial control misled civilians into returning to contested areas or postponing evacuations, placing them in direct danger.",12,CH1,Sudan,Social,Distorted needs and demand signals ,,
94,"In Sudan, rumours targeting displaced groups led to exclusion from markets, housing and informal jobs. In some areas, entire labour sectors – such as butchery or tea vending – were destabilized as fear and suspicion drove down participation and income. These dynamics exacerbated existing inequality and fuelled intercommunal tensions.",12,CH1,Sudan,Deprivational/financial/economic; Social,,,
95,"When racism follows disaster, it disrupts collective mourning, isolates survivors and undermines long-term recovery. For diaspora and asylum-seeking communities, it reinforces a sense of unbelonging in the countries where they have sought refuge or migrated.",10,CH1,"Syria, Türkiye",Psychological; Social,,,
96,"In the monitored posts, local responders like the White Helmets attracted significantly more positive engagement than UN agencies, which were often criticized for perceived regime bias or bureaucratic distance. Community trust was strongly tied to transparency, visible impact and narrative ownership on social media.",30,CH3,Syria,,,,
97,"Despite this transparent, ethical and humanitarian-based system, misleading and false claims such as “donated blood is being sold” occasionally circulate online.",45,CH4,Türkiye,Societal; Informational,Access constraints and acceptance risks,,
98,Safeguarding public trust extends beyond the technical accuracy of information – it is the very foundation of a voluntary blood system and of humanitarian action.,45,CH4,Türkiye,,,,
99,"With support from the IFRC, the Uganda Red Cross Society leadership initiated a series of decisive reforms. Key staff positions were restructured and official statements were issued to clarify the situation and reassure both partners and the public.",81,CH7,Uganda,,,Debunking and corrective communication; Partnership and coordination,
100,"The crisis underscored how leadership-related reputational issues can quickly erode trust and how recovery requires transparency, structural reform and sustained commitment.",81,CH7,Uganda,Societal,Programme effectiveness and accountability,,
101,"“Culture plays a big role in shaping people’s ways of thinking and perception about information being passed to the community.""",69,CH6,Uganda,,,,
102,It became the first – and tragically successful – attack on the neutrality of humanitarian aid in Ukraine. “The picture changed everything on the ground”,80,CH7,Ukraine,Societal,,,Humanitarian principles and neutrality
103,"The hybrid war in the digital space forced the National Society to develop new communication competencies. Experts joined the team, a monitoring system was established to track public and social media discourse, and 24/7 readiness became the norm ",80,CH7,Ukraine,Digital/technological,,Rumour tracking and early warning,Technology governance and platform accountability
104,every information attack on neutral humanitarian aid has also created the opportunity to reach out and communicate humanitarian values. “Our biggest success is when fake news is not even shared anymore because people are already informed and know more”,80,CH7,Ukraine,,,Prebunking and narrative resilience; Debunking and corrective communication ,Humanitarian principles and neutrality
105,"As one migrant in the UK explained, “people are very confused … they are not getting the right information ... They do not know what to do or even where to go to get information …”",28,CH3,United Kingdom of Great Britain and Northern Ireland,Psychological; Informational,Distorted needs and demand signals,,
106,"Yet disinformation in the humanitarian space is growing. The UK is tackling this concerning trend directly – through our seat in key multilateral fora, our diplomatic channels and our UK-funded aid.",57,CH5,United Kingdom of Great Britain and Northern Ireland,,,Partnership and coordination; Community engagement and accountability,
107,"We also invest in research, such as a recent project with Grand Challenges Canada, which highlighted the importance of working with communities to build trust, enhance resilience and empower local leadership, and of identifying technological innovations that are scalable and adaptable.",57,CH5,United Kingdom of Great Britain and Northern Ireland,,,Community engagement and accountability,
108,"To combat confusion, the National Society issued a direct public rebuttal, using a simple social media graphic and a clear statement on its website to set the record straight – providing clarity without amplifying false narratives.",31,CH3,United States of America,,,Debunking and corrective communication,
109,"Like logistical planning before a storm, the National Society continues to monitor online trends and social mentions, address emerging misinformation, deploy proactive storytelling and provide internal guidance to employees and volunteers for awareness and alignment.",31,CH3,United States of America,,,Rumour tracking and early warning; Prebunking and narrative resilience,
110,"A persistent challenge has been the misinterpretation of emblems, particularly the Red Cross emblem. In some communities, the presence of this emblem on aid items and banners alongside the Yemen Red Crescent Society logo is misconstrued as a sign of religious affiliation among partners.",65,CH6,Yemen,Informational; Societal,Access constraints and acceptance risks,,Humanitarian principles and neutrality
111,At the heart of this success lies the principle of radical transparency.,65,CH6,Yemen,,Access constraints and acceptance risks,Prebunking and narrative resilience,
112,"“Trust within communities is a form of trust that is resilient ... built on shared cultural values, norms and understanding. At the same time, false information is particularly effective when it originates within the circle of people you trust ... the very ties that bind communities together can make them susceptible to misinformation.”",69,CH6,Zambia,Social,,,
113,"“The internet has revived and amplified ancient superstitions, spreading them rapidly and giving them new life.”",69,CH6,Zambia,,,,
114," in Zimbabwe, neutrality scores dropped sharply ... among the general population and ... among aid recipients. In such settings, the principle of neutrality risks being undermined by contested narratives and politicized messaging, threatening the very foundation of trust.",24,CH2,Zimbabwe,Societal,,,Humanitarian principles and neutrality